#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-10-18T14:32:59 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5806326966da	
#INFO	-out.max=unlimited	
#INFO	queryParameters=46	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-nav=cat:B/sb9&tab:{B/sb9/main}&tab:{B/sb9/orbits}&key:source=B/sb9/main&key:source=B/sb9/orbits&HTTPPRM:&&-ref=VIZ5806326966da&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/sb9/main,B/sb9/orbits
#-order=I
#-out=Seq
#-sort=Seq
#-joincol={B/sb9/main}.{Seq}
#-joincol=Seq
#-out=N
#-out=RAJ2000
#-out=DEJ2000
#-out=Comp
#-out=mag1
#-out=n_mag1
#-out=mag2
#-out=n_mag2
#-out=Sp1
#-out=Sp2
#-out=Name
#-out=Simbad
#Simbad=Simbad
#-out=o
#-out=Per
#-out=f_Per
#-out=e_Per
#-out=e
#-out=f_e
#-out=e_e
#-out=K1
#-out=K2
#-out=V0
#-out=rms1
#-out=rms2
#-out=Grade
#Grade=> -1
#-out=Ref
#SB8=SB8
#-out=Details
#Details=Details
#

#RESOURCE=join
#Name: #Join
#Title:  Join tables B/sb9/main,B/sb9/orbits
#
#Table	B_sb9_main_B_sb9_orbits:
#Name: B/sb9/main,B/sb9/orbits
#Title:
#Column	_RAJ20001	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ20001	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Seq1	(I4)	[1/3531] System Number (SB8 number when Seq<=1469) \linkRole{aliases and known periods for this binary } [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	N1	(A1)	{\bf N} when a note exists	[ucd=phot.mag;em.IR.8-15um]
#Column	RAJ20001	(A11)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ20001	(A11)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Comp1	(a5)	Component	[ucd=meta.code.multip]
#Column	mag11	(F6.3)	? Magnitude of component 1	[ucd=phot.mag]
#Column	n_mag11	(A1)	[JPBVRyrIK] Filter in which mag1 is given	[ucd=meta.note]
#Column	mag21	(F6.3)	? Magnitude of component 2	[ucd=phot.mag]
#Column	n_mag21	(A1)	[PBVRyrIK] Filter in which mag2 is given	[ucd=meta.note]
#Column	Sp11	(a16)	MK Spectral type component 1	[ucd=src.spType]
#Column	Sp21	(a10)	MK Spectral type component 2	[ucd=src.spType]
#Column	Name1	(a29)	Name of the source (HIP when existing)	[ucd=meta.id]
#Column	Simbad1	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=meta.ref.url]
#Column	N2	(A1)	{\bf N} when a note exists	[ucd=phot.mag;em.IR.8-15um]
#Column	o2	(I1)	Orbit number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	Per2	(F12.4)	[0.05,116675] Period	[ucd=time.period]
#Column	f_Per2	(A1)	[a] a=assumed (fixed)	[ucd=meta.code]
#Column	e_Per2	(F12.4)	? Mean error on Per	[ucd=stat.error]
#Column	e2	(F6.4)	Orbital eccentricity	[ucd=src.orbital.eccentricity]
#Column	f_e2	(A1)	[>a] a=assumed (fixed) (1)	[ucd=meta.code]
#Column	e_e2	(F6.4)	? Mean error on eccentricity	[ucd=stat.error]
#Column	K12	(F7.2)	? Velocity amplitude of primary	[ucd=phys.veloc]
#Column	K22	(F7.2)	? Velocity amplitude of secondary	[ucd=phys.veloc]
#Column	V02	(F7.2)	? Systemtic velocity	[ucd=phys.veloc]
#Column	rms12	(F7.2)	? rms residuals of Radial Velocity primary	[ucd=stat.stdev]
#Column	rms22	(F7.2)	? rms residuals of Radial Velocity secondary	[ucd=stat.stdev]
#Column	Grade2	(F4.1)	? Grade of orbit (0=poor, 5=definitive)	[ucd=stat.weight]
#Column	Ref2	(a51)	Reference (bibcode) of orbit publication	[ucd=meta.bib]
#Column	Details2	(a7)	Detailed velocities and plots from http://sb9.astro.ulb.ac.be/	[ucd=meta.ref.url]
dec|ra|Seq|N|RAJ2000|DEJ2000|Comp|mag1|n_mag1|mag2|n_mag2|Sp1|Sp2|Name|Simbad|N|o|Per|f_Per|e_Per|e|f_e|e_e|K1|K2|V0|rms1|rms2|Grade|Ref|Details
+49.06286|052.01279| 170|N|03 28 03.07|+49 03 46.3|     | 4.980|V|      | |B5V             |          |HIP 16147                    |Simbad|N|2|     21.6950| |      0.0040|0.1200| |0.7000|  22.70|  49.00|   1.20|   4.70|       | 2.0|1992ApJ...393..666M                                |Details
+44.20889|052.77604| 171|N|03 31 06.25|+44 12 32.0|     |12.880|V|13.440|V|sdBe            |K2IVp     |BD +43 740a                  |Simbad|N|1|      1.9968| |            |0.0000| |      | 124.00|  34.00|  28.00|       |       | 2.0|1986ApJ...300..788C                                |Details
+12.93667|052.71825| 172|N|03 30 52.38|+12 56 12.0|     | 4.110|V|      | |K0II-III        |          |HIP 16369                    |Simbad|N|1|    960.0000| |            |0.4000| |      |   8.30|       |  14.20|       |       | 3.0|1924PDAO....3..145H                                |Details
+39.89947|053.39596| 173| |03 33 35.03|+39 53 58.1|     | 5.800|V|      | |A5m             |          |HIP 16591                    |Simbad| |1|      0.9172| |            |0.0000| |      |  95.70|       |   2.70|       |       | 4.0|1935PDAO....6..207H                                |Details
-47.37514|052.65396| 174|N|03 30 36.95|-47 22 30.5|     | 5.920|V| 6.020| |A1V             |          |HIP 16339                    |Simbad|N|1|      0.9360| |            |0.0000| |      |  28.10|       |  44.60|       |       | 2.0|1979A&AS...36..283D                                |Details
 -3.31336|053.10471| 175|N|03 32 25.13|-03 18 48.1|     | 8.260|V| 9.000|V|A3V             |          |HIP 16496                    |Simbad|N|1|      2.6642| |            |0.0000| |      |  18.90| 175.50|  11.70|       |       | 4.0|1973ApJ...185..265P                                |Details
+32.01678|053.75500| 176|N|03 35 01.20|+32 01 00.4|A    | 6.600|V|      | |F2IV-V          |          |HIP 16713                    |Simbad|N|1|      1.3264| |            |0.0200| |      |  63.70|       |  -4.90|       |       | 4.0|1940PDDO....1..197N                                |Details
-25.87164|053.31100| 177|N|03 33 14.64|-25 52 17.9|     |11.500| |      | |sdO             |          |HIP 16566                    |Simbad|N|1|      8.2050| |            |0.0000| |      |  61.00|       | 108.00|       |       | 1.0|1977MNRAS.178..409M                                |Details
-21.63289|053.44700| 178|N|03 33 47.28|-21 37 58.4|     | 4.260|V|      | |B8V             |          |HIP 16611                    |Simbad|N|1|      6.2236| |            |0.2000| |      | 107.00| 103.00|  15.00|       |       | 1.0|1926ApJ....63..368S                                |Details
+40.76372|054.43833| 179|N|03 37 45.20|+40 45 49.4|     |10.000| |10.800| |A5              |          |HIP 16920                    |Simbad|N|1|      7.1603| |            |0.2100| |      |  27.00|       |  -5.00|       |       | 1.0|1945ApJ...101..232S                                |Details
+25.99108|054.29600| 180|N|03 37 11.04|+25 59 27.9|     | 8.100| |      | |G2V             |          |HIP 16879                    |Simbad|N|1|      1.9299| |            |0.0400| |      |  77.80|       | -19.40|       |       | 3.0|1979A&A....74..113C                                |Details
 +0.58775|054.19704| 181|N|03 36 47.29|+00 35 15.9|A    | 5.710|V|      | |K1V             |G5IV      |HIP 16846                    |Simbad|N|1|      2.8377| |            |0.0000| |      |  49.40|  61.70| -15.00|       |       | 4.0|1983ApJ...268..274F                                |Details
+21.84325|054.80500| 182|N|03 39 13.20|+21 50 35.7|     | 7.270|V|      | |A0              |          |HIP 17043                    |Simbad|N|1|      4.6740| |            |0.1300| |      |  30.60|       |   5.90|       |       | 2.0|1975PDAO...14..319P                                |Details
+63.21681|055.53887| 183|N|03 42 09.33|+63 13 00.5|     | 5.100|V|      | |S3.5/2          |          |HIP 17296                    |Simbad|N|1|    596.2100| |      0.1900|0.0880| |0.0230|   8.47|       | -22.28|   0.80|       | 4.0|1984Obs...104..224G                                |Details
+25.32950|055.19296| 184|N|03 40 46.31|+25 19 46.2|     | 6.110|V|      | |A2V             |          |HIP 17181                    |Simbad|N|1|     20.4870| |            |0.6100| |      |  34.20|       |  -5.20|       |       | 2.0|1975PDAO...14..319P                                |Details
-15.22653|055.04767| 185|N|03 40 11.44|-15 13 35.5|     | 6.330|V|      | |G8III           |          |HIP 17136                    |Simbad|N|1|     91.6290| |            |0.0000| |      |  26.00|       |  -9.10|       |       | 3.0|1985PASP...97..637S                                |Details
+32.28825|056.07971| 186|N|03 44 19.13|+32 17 17.7|A    | 3.830|V|      | |B1III           |          |HIP 17448                    |Simbad|N|1|      4.4192| |            |0.0500| |      | 109.30| 159.40|  19.80|       |       | 5.0|1960ApJ...131..122L                                |Details
+70.87106|057.30725| 187|N|03 49 13.74|+70 52 15.8|     | 5.430|V|      | |A0              |          |HIP 17854                    |Simbad|N|1|     15.5132| |            |0.2200| |      |  22.20|  24.70|  16.00|       |       | 4.0|1940PDAO....7..199P                                |Details
+24.11333|056.21892| 188|N|03 44 52.54|+24 06 48.0|     | 3.690|V|      | |B6III           |          |HIP 17499                    |Simbad|N|1|    100.4600| |            |0.5200| |      |  26.00|       |  -0.30|       |       | 2.0|1965ApJ...142.1604A                                |Details
 +6.05000|056.41850| 189|N|03 45 40.44|+06 03 00.0|A    | 5.340|V|      | |B3V             |          |HIP 17563                    |Simbad|N|1|      2.4079| |            |0.0000| |      |  23.00|       |  17.00|       |       | 2.0|1963ApJ...137..791B                                |Details
+33.59986|056.96946| 190|N|03 47 52.67|+33 35 59.5|A    | 6.550|V|      | |B2V             |          |HIP 17735                    |Simbad|N|1|      1.9406| |            |0.0000| |      |  82.00| 114.00|  20.00|       |       | 3.0|1963ApJ...137..821B                                |Details
+23.91469|056.85175| 191|N|03 47 24.42|+23 54 52.9|     | 7.260|V|      | |A2V             |          |BD +23 538                   |Simbad|N|1|      7.3450| |            |0.0300| |      |  14.40|       |   7.00|       |       | 3.0|1968AJ.....73..348C                                |Details
+24.28833|056.87271| 192|N|03 47 29.45|+24 17 18.0|     | 6.810|V|      | |A0V             |A5        |HIP 17704                    |Simbad|N|1|      2.4611| |            |0.0200| |      |  98.10| 140.60|   5.00|       |       | 4.0|1958ApJ...128..139A                                |Details
-64.80692|056.04992| 193|N|03 44 11.98|-64 48 24.9|A    | 3.840|V|      | |K0IV            |          |HIP 17440                    |Simbad|N|1|   1911.5000| |            |0.2100| |      |   5.20|       |  51.10|       |       | 3.0|1928MNRAS..88..644S                                |Details
+44.96786|057.51842| 194|N|03 50 04.42|+44 58 04.3|     | 5.660|V|      | |G2III           |F2:V      |HIP 17932                    |Simbad|N|1|    962.8000| |            |0.7200| |      |  20.20|       |  18.40|       |       | 3.0|1987A&A...175..136P                                |Details
+33.09139|057.38621| 195|N|03 49 32.69|+33 05 29.0|     | 5.100|V|      | |A2V             |          |HIP 17886                    |Simbad|N|1|      1.7653| |            |0.0900| |      |  34.40|       | -11.90|       |       | 2.0|1974PASP...86..455M                                |Details
+24.05342|057.29058| 196|N|03 49 09.74|+24 03 12.3|A    | 3.620|V|      | |B8III           |          |HIP 17847                    |Simbad|N|1|   1254.6800| |            |0.1400| |      |  14.50|       |  -0.40|       |       | 1.0|1965ApJ...142.1604A                                |Details
+23.84869|057.49192| 197|N|03 49 58.06|+23 50 55.3|A    | 6.720|V|      | |B9.5V           |          |HIP 17923                    |Simbad|N|1|     16.7250| |            |0.0000| |      |  32.40|       |   9.70|       |       | 2.0|1975PDAO...14..319P                                |Details
+17.24650|057.60404| 198|N|03 50 24.97|+17 14 47.4|     | 9.600|V| 9.710|V|wd              |K2V       |HIP 17962                    |Simbad|N|1|      0.5212| |            |0.0000| |      | 147.00|       |  40.00|       |       | 4.0|1976ApJ...205..182Y                                |Details
+25.16292|057.85537| 199|N|03 51 25.29|+25 09 46.5|     | 6.790|V|      | |A1              |(dG)      |HIP 18046                    |Simbad|N|1|      8.2233| |            |0.0000| |      |  35.20|       | -31.30|       |       | 3.0|1956PDAO...10..349P                                |Details
+34.22211|058.07900| 200|N|03 52 18.96|+34 13 19.6|     | 7.410|V|      | |B2V             |          |HIP 18111                    |Simbad|N|1|     26.1110| |            |0.0000| |      |  13.00|       |  26.70|       |       | 2.0|1971AJ.....76..544L                                |Details
-64.32953|056.82258| 201| |03 47 17.42|-64 19 46.3|     | 8.790|V|      | |G2V-VI          |          |HIP 17683                    |Simbad| |1|     18.7806| |            |0.2000| |      |  31.70|       |  65.30|       |       | 3.0|1963RGOB...78..391B                                |Details
-10.53042|057.97225| 202| |03 51 53.34|-10 31 49.5|     | 8.120|V| 8.630|V|F2              |          |HIP 18080                    |Simbad| |1|      0.5077| |            |0.0700| |      |  53.10|       | -44.40|       |       | 2.0|1983Ap&SS..93...69B                                |Details
+31.04583|058.84617| 203|N|03 55 23.08|+31 02 45.0|A    | 6.070|V|      | |Ope             |          |HIP 18350                    |Simbad|N|1|    580.7000| |            |0.0000| |      |  59.00|       | -50.00|       |       | 1.0|1975MNRAS.170..313H                                |Details
+50.69539|059.15217| 204|N|03 56 36.52|+50 41 43.4|     | 5.270|V|      | |F5IV            |          |HIP 18453                    |Simbad|N|1|     30.4380| |            |0.6300| |      |  51.90|  54.40|  25.10|       |       | 4.0|1973PASP...85..115W                                |Details
-14.93519|058.68242| 205|N|03 54 43.78|-14 56 06.7|     | 9.350|V|10.070|V|F3IV-V          |          |BD -15 686                   |Simbad|N|1|      0.6322| |            |0.0000| |      | 109.00|       | -20.10|       |       | 2.0|1984PASJ...36..277N                                |Details
+53.98869|059.65921| 206|N|03 58 38.21|+53 59 19.3|     | 7.020|V|      | |A7V             |          |HIP 18585                    |Simbad|N|1|      1.7629| |            |0.0800| |      |  67.00|       |  -4.00|       |       | 3.0|1971A&A....14..189A                                |Details
+23.17556|059.26588| 207|N|03 57 03.81|+23 10 32.0|     | 5.970|V|      | |B9.5IV          |          |HIP 18485                    |Simbad|N|1|      1.5919| |            |0.3700| |      |  56.90|       |  25.00|       |       | 1.0|1975PDAO...14..319P                                |Details
+76.88667|061.49017| 208|N|04 05 57.64|+76 53 12.0|     |10.400|B|      | |F8              |          |BD +76 148                   |Simbad|N|1|     20.9986| |            |0.4651| |0.0033|  60.73|  61.76| -38.01|       |       | 4.0|1987A&AS...67..161I                                |Details
+48.15125|059.93617| 209|N|03 59 44.68|+48 09 04.5|A    | 7.730|V| 8.280|V|B7.5V           |A6        |HIP 18662                    |Simbad|N|1|      1.7436| |            |0.0800| |      | 101.80| 206.40|   0.30|       |       | 4.0|1985ApJ...295..569L                                |Details
+47.45042|060.35854| 210|N|04 01 26.05|+47 27 01.5|     | 7.300| |      | |G8              |          |HIP 18782                    |Simbad|N|1|    927.0000| |            |0.3800| |      |   3.40|       | -25.20|       |       | 4.0|1985Obs...105...29G                                |Details
+12.49036|060.17008| 211|N|04 00 40.82|+12 29 25.3|Aa   | 3.470|V|      | |B3V             |A4IV      |HIP 18724                    |Simbad|N|1|      3.9529| |            |0.0000| |      |  56.80| 213.40|       |       |       | 4.0|1982ApJ...263..289F                                |Details
+12.49036|060.17008| 212|N|04 00 40.82|+12 29 25.3|AB   | 3.470|V|      | |B3V             |A4IV      |HIP 18724                    |Simbad|N|1|     33.0700| |            |0.1500| |      |  10.50|       |  13.40|       |       | 3.0|1982ApJ...263..289F                                |Details
+20.41397|060.26350| 213|N|04 01 03.24|+20 24 50.3|     |10.260|V|10.700| |A5V             |          |BD +20 685                   |Simbad|N|1|      0.4299| |            |0.0000| |      |  61.00|       | -33.20|       |       | 3.0|1984PASJ...36..175Y                                |Details
-24.01622|059.98117| 214|N|03 59 55.48|-24 00 58.4|     | 4.640|V|      | |ASi             |          |HIP 18673                    |Simbad|N|1|      5.9537| |            |0.1000| |      |  37.60|       |  24.90|       |       | 4.0|1950ApJ...111..437S                                |Details
+28.12597|060.97633| 215|N|04 03 54.32|+28 07 33.5|     | 8.020|P|11.590|V|B8V             |K0III     |HIP 18972                    |Simbad|N|1|      2.7688| |            |0.2900| |      |  53.30|       | -20.20|       |       | 2.0|1940ApJ...110..438H                                |Details
+62.33011|061.96412| 216|N|04 07 51.39|+62 19 48.4|Bab  | 6.990|V| 7.230|V|O9.5Vnk         |B0        |HIP 19272                    |Simbad|N|1|      2.6982| |            |0.0000| |      |  84.60| 342.40| -15.70|       |       | 2.0|1980BAICz..31..321C                                |Details
+32.38506|061.66271| 217| |04 06 39.05|+32 23 06.2|     | 7.020|V|      | |B3V             |          |HIP 19178                    |Simbad| |1|     10.6700| |            |0.2000| |      |  20.00|       |  24.00|       |       | 1.0|1963ApJ...137..791B                                |Details
+32.38506|061.66271| 217| |04 06 39.05|+32 23 06.2|     | 7.020|V|      | |B3V             |          |HIP 19178                    |Simbad| |2|      0.9122| |      0.0000|0.1130| |0.0690|  18.10|       |  24.20|   7.23|       | 3.0|1988PASP..100..954M                                |Details
+27.59989|061.65171| 218|N|04 06 36.41|+27 35 59.6|     | 5.190|V|      | |A0p             |          |HIP 19171                    |Simbad|N|1|      7.2274| |            |0.1800| |      |  16.60|       |   2.30|       |       | 3.0|1973ApJS...25..137A                                |Details
+33.44636|061.73262| 219|N|04 06 55.83|+33 26 46.9|A    | 6.700|V| 6.900|V|B5p(V)          |          |HIP 19201                    |Simbad|N|1|      2.0287| |            |0.0700| |      | 162.80| 178.70|  24.70|       |       | 3.0|1974ApJ...188..559P                                |Details
+23.63633|062.98425| 220|N|04 11 56.22|+23 38 10.8|     | 9.380|V|      | |K0              |          |HIP 19591                    |Simbad|N|1|      2.3944| |            |0.0600| |      |  66.30|       |  36.80|       |       | 4.0|1981AJ.....86..588G                                |Details
-20.35617|062.90083| 221|N|04 11 36.20|-20 21 22.2|     | 5.780|V|      | |Am              |Am        |HIP 19571                    |Simbad|N|1|      3.6587| |            |0.0000| |      | 104.50| 104.90|  32.80|       |       | 3.0|1977PASP...89..185A                                |Details
-10.46944|063.03687| 222| |04 12 08.85|-10 28 10.0|     | 8.500|P| 9.200|P|G5              |G5        |HIP 19610                    |Simbad| |1|      0.3215| |            |0.0000| |      | 280.00| 112.00| -15.00|       |       | 2.0|1986A&A...159..142N                                |Details
+48.40933|063.72442| 223|N|04 14 53.86|+48 24 33.6|A    | 4.120|V|      | |G0Ib            |          |HIP 19812                    |Simbad|N|1|    283.2720| |            |0.0600| |      |  20.70|       |   7.70|       |       | 5.0|1946PASP...58..248J                                |Details
+40.48367|063.72217| 224|N|04 14 53.32|+40 29 01.2|     | 4.710|V|      | |G5Ib            |A2        |HIP 19811                    |Simbad|N|1|   1576.4400| |            |0.4100| |      |  18.10|       |  -4.50|       |       | 5.0|1957ApJ...125..707O                                |Details
+20.81981|063.92683| 225|N|04 15 42.44|+20 49 11.3|     | 7.840|V|      | |G4V             |          |HIP 19870                    |Simbad|N|1|     55.1300| |            |0.3900| |      |  27.80|  30.70|  38.40|       |       | 4.0|1981AJ.....86..588G                                |Details
+50.29550|064.56092| 226|N|04 18 14.62|+50 17 43.8|a    | 4.590|V|      | |A2V             |          |HIP 20070                    |Simbad|N|1|      1.5274| |            |0.0200| |      |  39.40|       |       |       |       | 3.0|1976ApJ...208..152H                                |Details
+50.29550|064.56092| 227|N|04 18 14.62|+50 17 43.8|abc  | 4.590|V|      | |A2V             |          |HIP 20070                    |Simbad|N|1|    701.7600| |            |0.2400| |      |  11.40|       |  21.00|       |       | 2.0|1976ApJ...208..152H                                |Details
+16.94786|064.41225| 228|N|04 17 38.94|+16 56 52.3|     | 8.340|V|      | |G8V             |          |HIP 20019                    |Simbad|N|1|      5.6092| |            |0.0000| |      |  61.10|  84.40|  38.10|       |       | 4.0|1985AJ.....90..609G                                |Details
+41.54117|064.75375| 229| |04 19 00.90|+41 32 28.2|     | 8.190|V|      | |K2              |          |HIP 20133                    |Simbad| |1|    488.0000| |            |0.4400| |      |   4.00|       |  -8.30|       |       | 3.0|1981Obs...101..115G                                |Details
+23.28469|064.54492| 230|N|04 18 10.78|+23 17 04.9|     | 9.560|V|      | |K0              |          |HD 284303                    |Simbad|N|1|      1.8873| |            |0.0000| |      |  95.30| 103.40|  39.30|       |       | 4.0|1982A&A...106..221G                                |Details
+18.25681|064.50767| 231| |04 18 01.84|+18 15 24.5|     | 7.540|V|      | |G4V             |G8V       |HIP 20056                    |Simbad| |1|     75.6480| |            |0.2300| |      |  31.00|  35.20|  38.00|       |       | 3.0|1973PDAO...14..135B                                |Details
+18.25681|064.50767| 231| |04 18 01.84|+18 15 24.5|     | 7.540|V|      | |G4V             |G8V       |HIP 20056                    |Simbad| |2|     75.6587| |      0.0008|0.2628| |0.0006|  32.05|  34.77|  38.46|   0.06|   0.06| 5.0|2003Obs...123....1T                                |Details
+21.57931|064.59667| 232|N|04 18 23.20|+21 34 45.5|     | 5.650|V|      | |A8V             |G0        |HIP 20087                    |Simbad|N|1|   4035.0000| |            |0.3400| |      |   9.10|       |  38.30|       |       | 2.0|1971PASP...83..298D                                |Details
+21.57931|064.59667| 232|N|04 18 23.20|+21 34 45.5|     | 5.650|V|      | |A8V             |G0        |HIP 20087                    |Simbad|N|2|   4145.7200| |      7.6701|0.1674| |0.0044|   7.36|   9.08|  37.86|   2.24|   0.89| 5.0|2000A&AS..145..215P                                |Details
+42.31439|065.06987| 233|N|04 20 16.77|+42 18 51.8|     | 9.700|V|11.490|V|B9.6IIIe        |K2III-IV  |HIP 20245                    |Simbad|N|1|     13.1989| |            |0.0000| |      |  18.50|       |   6.50|       |       | 1.0|1945ApJ...102...74S                                |Details
+21.14231|064.85875| 234|N|04 19 26.10|+21 08 32.3|     | 5.350|V|      | |B9Vp            |          |HIP 20171                    |Simbad|N|1|      4.4521| |            |0.0600| |      |   9.60|       |  12.50|       |       | 4.0|1972PASP...84..652D                                |Details
-33.79833|064.47358| 235|N|04 17 53.66|-33 47 54.0|     | 3.550|V|      | |B8.5V           |          |HIP 20042                    |Simbad|N|1|      5.0105| |            |0.0100| |      |  63.80|  64.90|  17.80|       |       | 4.0|1915LicOB...8..168P                                |Details
+13.86442|065.21967| 236|N|04 20 52.72|+13 51 51.9|     | 6.150|V|      | |F6V             |F6V       |HIP 20284                    |Simbad|N|1|      3.0591| |            |0.0200| |      |  71.00|  73.90|  36.10|       |       | 4.0|1952JRASC..46...11N                                |Details
+14.07719|065.51467| 237|N|04 22 03.52|+14 04 37.9|A    | 5.720|V|      | |Am              |          |HIP 20400                    |Simbad|N|1|      2.1433| |            |0.0400| |      |  26.60|       |  41.70|       |       | 2.0|1961ApJS....6...37A                                |Details
+15.05608|065.68404| 238|N|04 22 44.17|+15 03 21.9|A    | 6.990|V|      | |F8IV            |          |HIP 20440                    |Simbad|N|1|      4.0000| |            |0.0600| |      |  36.10|       |  37.40|       |       | 2.0|1921ApJ....53..201S                                |Details
+17.54250|065.73371| 239| |04 22 56.09|+17 32 33.0|     | 3.760|V|      | |K0III           |          |HIP 20455                    |Simbad| |1|    529.8000| |            |0.4200| |      |   3.00|       |  39.50|       |       | 2.0|1977AJ.....82..176G                                |Details
+19.65867|065.84521| 240|N|04 23 22.85|+19 39 31.2|     | 9.400|V|      | |K2V             |          |HIP 20482                    |Simbad|N|1|    590.6000| |            |0.6400| |      |   9.90|       |  39.80|       |       | 3.0|1985AJ.....90..609G                                |Details
+19.65867|065.84521| 240|N|04 23 22.85|+19 39 31.2|     | 9.400|V|      | |K2V             |          |HIP 20482                    |Simbad|N|2|    589.7500| |      0.0500|0.6210| |0.0020|   9.73|  14.24|  38.75|   0.06|   0.06| 4.0|2005Obs...125..232T                                |Details
+16.77725|065.85442| 241|N|04 23 25.06|+16 46 38.1|     | 5.630|V|      | |Am              |          |HIP 20484                    |Simbad|N|1|      8.4183| |            |0.0000| |      |  36.60|       |  37.70|       |       | 4.0|1985ApJS...59..229A                                |Details
 +4.69994|066.18012| 242|N|04 24 43.23|+04 41 59.8|     | 8.940|V|      | |G8V             |          |HIP 20601                    |Simbad|N|1|    156.3870| |            |0.8500| |      |  37.70|  50.50|  42.10|       |       | 3.0|1985AJ.....90..609G                                |Details
 +4.69994|066.18012| 242|N|04 24 43.23|+04 41 59.8|     | 8.940|V|      | |G8V             |          |HIP 20601                    |Simbad|N|2|    156.3802| |      0.0003|0.8515| |0.0002|  37.34|  50.39|  41.62|   0.02|   0.14| 5.0|2016MNRAS.455.3303H                                |Details
+21.47044|066.57708| 243| |04 26 18.50|+21 28 13.6|     | 7.380|V|      | |F8V             |          |HIP 20712                    |Simbad| |1|      8.5509| |            |0.2300| |      |  16.50|       |  38.80|       |       | 4.0|1978AJ.....83.1114G                                |Details
+15.61828|066.58642| 244|N|04 26 20.74|+15 37 05.8|     | 4.490|V|      | |F0V             |          |HIP 20713                    |Simbad|N|1|   5200.0000| |            |0.2400| |      |  15.10|       |  40.80|       |       | 1.0|1965ApJS...11..429A                                |Details
+72.52861|068.37783| 245|N|04 33 30.68|+72 31 43.0|A    | 5.880| |      | |A5              |          |HIP 21247                    |Simbad|N|1|      4.1950| |            |0.0000| |      |  31.30|       |   9.00|       |       | 3.0|1936ApJ....84...85L                                |Details
+18.50025|066.99567| 246|N|04 27 58.96|+18 30 00.9|     |10.170|V|      | |K2              |          |BD +18 639                   |Simbad|N|1|   1907.0000| |            |0.4900| |      |   6.80|       |  40.20|       |       | 4.0|1985AJ.....90..609G                                |Details
+19.74069|067.15508| 247|N|04 28 37.22|+19 44 26.5|     | 8.640|V|      | |G8V             |          |HIP 20890                    |Simbad|N|1|     41.6625| |            |0.6600| |      |   7.30|       |  39.80|       |       | 4.0|1985AJ.....90..609G                                |Details
+15.87089|067.16558| 248|N|04 28 39.74|+15 52 15.2|     | 3.410|V|      | |A7III           |          |HIP 20894                    |Simbad|N|1|    140.7280| |            |0.7500| |      |  31.00|       |  39.60|       |       | 4.0|1960PDAO...11..235E                                |Details
+17.54494|067.33563| 249|N|04 29 20.55|+17 32 41.8|     | 7.050|V|      | |F7V             |          |HIP 20935                    |Simbad|N|1|    238.8700| |            |0.2400| |      |   6.50|       |  39.80|       |       | 3.0|1985AJ.....90..609G                                |Details
+10.52186|067.42858| 250|N|04 29 42.86|+10 31 18.7|     | 6.790|V|      | |B5              |B5        |HIP 20963                    |Simbad|N|1|     13.8761| |            |0.3500| |      |  79.90|  94.40|  22.10|       |       | 3.0|1983JRASC..77..142H                                |Details
+15.73397|067.64533| 251|N|04 30 34.88|+15 44 02.3|     | 8.930|V|      | |G8V             |          |BD +15 638                   |Simbad|N|1|    358.4100| |            |0.3600| |      |  13.80|       |  40.80|       |       | 3.0|1981AJ.....86..588G                                |Details
+15.73397|067.64533| 251|N|04 30 34.88|+15 44 02.3|     | 8.930|V|      | |G8V             |          |BD +15 638                   |Simbad|N|2|    358.4840| |      0.0130|0.3703| |0.0013|  14.03|  19.85|  40.23|   0.06|   0.06| 5.0|2007Obs...127..165T                                |Details
+17.70978|067.90458| 252|N|04 31 37.10|+17 42 35.2|     | 9.560|V|      | |K2              |          |HIP 21123                    |Simbad|N|1|    844.6000| |            |0.1500| |      |   6.20|       |  40.30|       |       | 3.0|1985AJ.....90..609G                                |Details
